Sr. No.,Frame Material,Pane Material,Frame E [GPa],Frame K IC [MPa m^[1/2]],Frame alpha [1E-6/K],Frame k [W/m-K],Frame kappa [W m^2/J],Pane E [GPa],Pane K IC [MPa m^[1/2]],Pane alpha [1E-6/K],Pane k [W/m-K],Pane kappa [W m^2/J],Pane Area,Fillet Scale,Pane Depth,Frame Scale,Frame Safety Factor,Pane Safety Factor,Frame Fracture Factor,Pane Fracture Factor
69,C-C,BeO,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,399.85200000000003,3.999632,7.704000000000001,264.53700000000003,8.237739357325106e-05,0.1,0.5,0.025,0.975,0.279,0.021,0.525,0.075
70,C-C,Ox-Ox,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,146.15279999999998,3.0,1.9440000000000002,3.6309000000000005,4.3977028122333875e-07,0.01,0.25,0.01,0.95,1.159,0.214,3.564,0.135
71,C-C,Ox-Ox,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,146.15279999999998,3.0,1.9440000000000002,3.6309000000000005,4.3977028122333875e-07,0.01,0.5,0.01,0.95,1.122,0.194,1.859,0.124
72,C-C,Ox-Ox,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,146.15279999999998,3.0,1.9440000000000002,3.6309000000000005,4.3977028122333875e-07,0.01,0.25,0.01,0.975,1.347,0.223,4.184,0.148
73,C-C,Ox-Ox,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,146.15279999999998,3.0,1.9440000000000002,3.6309000000000005,4.3977028122333875e-07,0.01,0.5,0.01,0.975,1.162,0.219,1.75,0.14
74,C-C,Ox-Ox,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,146.15279999999998,3.0,1.9440000000000002,3.6309000000000005,4.3977028122333875e-07,0.1,0.25,0.01,0.95,1.037,0.223,1.52,0.162
75,C-C,Ox-Ox,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,146.15279999999998,3.0,1.9440000000000002,3.6309000000000005,4.3977028122333875e-07,0.1,0.5,0.01,0.95,1.014,0.202,1.653,0.153
76,C-C,Ox-Ox,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,146.15279999999998,3.0,1.9440000000000002,3.6309000000000005,4.3977028122333875e-07,0.1,0.25,0.01,0.975,1.119,0.219,1.499,0.16
77,C-C,Ox-Ox,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,146.15279999999998,3.0,1.9440000000000002,3.6309000000000005,4.3977028122333875e-07,0.1,0.5,0.01,0.975,1.043,0.219,1.578,0.165
78,C-C,Ox-Ox,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,146.15279999999998,3.0,1.9440000000000002,3.6309000000000005,4.3977028122333875e-07,0.1,0.25,0.025,0.95,1.841,0.366,2.498,0.215
79,C-C,Ox-Ox,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,146.15279999999998,3.0,1.9440000000000002,3.6309000000000005,4.3977028122333875e-07,0.1,0.5,0.025,0.95,1.73,0.328,1.845,0.204
80,C-C,Ox-Ox,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,146.15279999999998,3.0,1.9440000000000002,3.6309000000000005,4.3977028122333875e-07,0.1,0.25,0.025,0.975,2.192,0.417,1.809,0.268
81,C-C,Ox-Ox,79.281,6.296124000000001,8.406,34.9258,2.1828625e-05,146.15279999999998,3.0,1.9440000000000002,3.6309000000000005,4.3977028122333875e-07,0.1,0.5,0.025,0.975,1.855,0.37,1.189,0.225
